                       BW                      PENN                     CATIB                     ERTS2
                   ABBREV                       NNP                      PROP                    ABBREV
                      ADJ                        JJ                       NOM                       ADJ
                   ADJ.VN                        JJ                       NOM                    ADJ_VN
                 ADJ_COMP                  ADJ_COMP                       NOM                  ADJ_COMP
                  ADJ_NUM                   ADJ_NUM                       NOM                   ADJ_NUM
                 ADJ_PROP                        JJ                       NOM                       ADJ
                      ADV                        RB                       NOM                       ADV
             CASE_DEF_ACC                    UNDEF*                    UNDEF*                    UNDEF*
          CASE_DEF_ACCGEN                    UNDEF*                    UNDEF*                    UNDEF*
             CASE_DEF_GEN                    UNDEF*                    UNDEF*                    UNDEF*
             CASE_DEF_NOM                    UNDEF*                    UNDEF*                    UNDEF*
           CASE_INDEF_ACC                    UNDEF*                    UNDEF*                    UNDEF*
        CASE_INDEF_ACCGEN                    UNDEF*                    UNDEF*                    UNDEF*
           CASE_INDEF_GEN                    UNDEF*                    UNDEF*                    UNDEF*
           CASE_INDEF_NOM                    UNDEF*                    UNDEF*                    UNDEF*
                     CONJ                        CC                       PRT                      CONJ
              CONNEC_PART                        AN                       PRT                      PART
                       CV                        VB                       VRB                        CV
             CVSUFF_DO:1P                       PRP                       NOM               PRN_DO+1_PL
             CVSUFF_DO:1S                       PRP                       NOM               PRN_DO+1_SG
             CVSUFF_DO:3D                       PRP                       NOM               PRN_DO+3_DU
            CVSUFF_DO:3FP                       PRP                       NOM           PRN_DO+3_FEM_PL
            CVSUFF_DO:3FS                       PRP                       NOM           PRN_DO+3_FEM_SG
            CVSUFF_DO:3MP                       PRP                       NOM          PRN_DO+3_MASC_PL
            CVSUFF_DO:3MS                       PRP                       NOM          PRN_DO+3_MASC_SG
          CVSUFF_SUBJ:2FS                    UNDEF*                    UNDEF*                 #2_FEM_SG
          CVSUFF_SUBJ:2MP                    UNDEF*                    UNDEF*                #2_MASC_PL
          CVSUFF_SUBJ:2MS                    UNDEF*                    UNDEF*                #2_MASC_SG
                      DEM                       DEM                       NOM                   PRN_DEM
                 DEM_PRON                       DEM                       NOM                   PRN_DEM
               DEM_PRON_D                       DEM                       NOM                PRN_DEM+DU
               DEM_PRON_F                       DEM                       NOM               PRN_DEM+FEM
              DEM_PRON_FD                       DEM                       NOM            PRN_DEM+FEM_DU
              DEM_PRON_FP                       DEM                       NOM            PRN_DEM+FEM_PL
              DEM_PRON_FS                       DEM                       NOM            PRN_DEM+FEM_SG
              DEM_PRON_MD                       DEM                       NOM           PRN_DEM+MASC_DU
              DEM_PRON_MP                       DEM                       NOM           PRN_DEM+MASC_PL
              DEM_PRON_MS                       DEM                       NOM           PRN_DEM+MASC_SG
               DEM_PRON_P                       DEM                       NOM                PRN_DEM+PL
                      DET                        DT                      PRT*                       DET
                  DIALECT                        NN                       NOM                       OTH
            EMPHATIC_PART                        RP                       PRT                      PART
        EMPHATIC_PARTICLE                        RP                       PRT                      PART
                EMPH_PART                        RP                       PRT                      PART
              EXCLAM_PRON                      PRP*                      NOM*                      PRN*
               FOCUS_PART                        RP                       PRT                  PART_FOC
                  FOREIGN                       NNP                      PROP                       OTH
                FUNC_WORD                        IN                       PRT                      PREP
                      FUT                        RP                       PRT                  PART_FUT
                 FUT_PART                        RP                       PRT                  PART_FUT
          GRAMMAR_PROBLEM                        NN                       NOM                       OTH
                   INTERJ                        UH                       PRT                    INTERJ
             INTERROG_ADV                       WRB                       NOM              ADV_INTERROG
            INTERROG_PART                        RP                       PRT             PART_INTERROG
            INTERROG_PRON                        WP                       NOM              PRN_INTERROG
                       IV                       VBP                       VRB                        IV
                     IV1P                    UNDEF*                    UNDEF*                     #1_PL
                     IV1S                    UNDEF*                    UNDEF*                     #1_SG
                     IV2D                    UNDEF*                    UNDEF*                     #2_DU
                    IV2FP                    UNDEF*                    UNDEF*                 #2_FEM_PL
                    IV2FS                    UNDEF*                    UNDEF*                 #2_FEM_SG
                    IV2MP                    UNDEF*                    UNDEF*                #2_MASC_PL
                    IV2MS                    UNDEF*                    UNDEF*                #2_MASC_SG
                    IV3FD                    UNDEF*                    UNDEF*                 #3_FEM_DU
                    IV3FP                    UNDEF*                    UNDEF*                 #3_FEM_PL
                    IV3FS                    UNDEF*                    UNDEF*                 #3_FEM_SG
                    IV3MD                    UNDEF*                    UNDEF*                #3_MASC_DU
                    IV3MP                    UNDEF*                    UNDEF*                #3_MASC_PL
                    IV3MS                    UNDEF*                    UNDEF*                #3_MASC_SG
             IVSUFF_DO:1P                       PRP                       NOM               PRN_DO+1_PL
             IVSUFF_DO:1S                       PRP                       NOM               PRN_DO+1_SG
             IVSUFF_DO:2D                       PRP                       NOM               PRN_DO+2_DU
            IVSUFF_DO:2FP                       PRP                       NOM           PRN_DO+2_FEM_PL
            IVSUFF_DO:2FS                       PRP                       NOM           PRN_DO+2_FEM_SG
            IVSUFF_DO:2MP                       PRP                       NOM          PRN_DO+2_MASC_PL
            IVSUFF_DO:2MS                       PRP                       NOM          PRN_DO+2_MASC_SG
             IVSUFF_DO:3D                       PRP                       NOM               PRN_DO+3_DU
            IVSUFF_DO:3FP                       PRP                       NOM           PRN_DO+3_FEM_PL
            IVSUFF_DO:3FS                       PRP                       NOM           PRN_DO+3_FEM_SG
            IVSUFF_DO:3MP                       PRP                       NOM          PRN_DO+3_MASC_PL
