CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	English-Equivalent
|b_1	|b_1	pos:noun_prop	pos:noun_prop	August
|abA_1	>abiy~_1	pos:noun	pos:adj	father
|abiy_1	|biy_1	pos:adj	pos:noun	reluctant;;unwilling
|tiy_1	|tiy_1	pos:adj	pos:adj	coming;;following
UNK	|taY_1	UNK	pos:verb	afflict and curse
UNK	|taY_2	UNK	pos:verb	afflict and curse
UNK	>aEoTaY_1	UNK	pos:verb	give
UNK	mu&aj~ir_1	UNK	pos:noun	work for a daily rate
|ajir_1	|jar_1	pos:verb	pos:verb	grant
|ajil_1	|jil_1	pos:adj	pos:noun	future;;deferred
wAHid_1	wAHid_1	pos:noun	pos:noun_num	ones
|xar_1	|xar_1	pos:adj	pos:adj	other
|xar_1	|xir_1	pos:adj	pos:adj_comp	extreme;;utmost
|xar_1	|xir_1	pos:adj	pos:adj_comp	the last
UNK	|xar_1	UNK	pos:adj	the ultimate
|xid_1	|xi*_1	pos:adj	pos:adj	taking;;captivating;;engrossing
|xi*_1	|xa*_1	pos:verb	pos:verb	blame;;reproach
UNK	|xir_1	UNK	pos:adj_comp	the last
|axir_1	|xir_1	pos:noun	pos:adj_comp	end;;later part
|xirap_1	|xirap_1	pos:noun	pos:noun	hereafter
|ad_1	walad_1	pos:noun	pos:noun	boy
|dam_1	|dam_1	pos:noun_prop	pos:noun_prop	Adam
|adamiy_1	|damiy~_1	pos:adj	pos:adj	human
|damiy~_1	|damiy~_1	pos:adj	pos:adj	human
|damiy~ap_1	UNK	pos:noun	UNK	human
|adim_1	>akal-u_1	pos:verb	pos:verb	eat
|adiy_1	UNK	pos:pron_dem	UNK	this is-that is
UNK	xaf~aD_1	UNK	pos:verb	lower away
|zim_1	|zim_1	pos:adj	pos:adj	critical;;decisive
|s_1	|s_1	pos:noun	pos:noun	myrtle-tree
|s_1	|s_2	pos:noun	pos:noun	myrtle-tree
|s_2	|s_1	pos:noun	pos:noun	myrtle-tree
|s_2	|s_2	pos:noun	pos:noun	myrtle-tree
|asap_1	|s_1	pos:noun	pos:noun	myrtle-tree
|asap_1	|s_2	pos:noun	pos:noun	myrtle-tree
|sif_1	|sif_1	pos:adj	pos:noun	sorry;;regretful
Al_0	UNK	pos:noun_prop	UNK	Asia
UNK	>aSalap_1	UNK	pos:noun	python
UNK	UNK	UNK	UNK	python
|fap_1	|fap_1	pos:noun	pos:noun	disease
|kil_1	|kil_1	pos:adj	pos:adj	eating
|kil_1	|kal_1	pos:verb	pos:verb	feed
|l_2	|l_2	pos:noun	pos:noun	lineage
|l_2	luEobap_1	pos:noun	pos:noun	jacks;;five stones
|l-u_1	|l-u_1	pos:verb	pos:verb	be certain
|l-u_1	raj~aE_1	pos:verb	pos:verb	revert
UNK	dAEir_1	UNK	pos:adj	raffish
UNK	EAzif_1	UNK	pos:noun	low class musician
>ulof_1	>alof_1	pos:noun	pos:noun_num	thousands
|lap_1	|lap_1	pos:noun	pos:noun	musical instrument
