## CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	SAMA-Gloss
*abiyHap_1	*abiyHap_1	pos:noun	pos:noun	slaughter animal;;sacrifice victim;;slaughter animals;;sacrifice victims
*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
*aboHap_1	*iboHap_1	pos:noun	pos:noun	angina;;diphtheria
UNK	>a*AE_1	UNK	pos:verb	broadcast;;propagate;;be broadcast;;be propagated
UNK	>a*oEan_1	UNK	pos:verb	submit;;yield;;obey;;be submitted to;;be yielded to;;be obeyed
*aEar_1	*aEar-a_1	pos:verb	pos:verb	frighten
*aEar_1	>aroEab_1	pos:verb	pos:verb	frighten;;terrify;;be frighten;;be terrified
*ahab_1	*ahab-a_2	pos:verb	pos:verb	take (with)
*ahab_1	*ahab-a_2	pos:verb	pos:verb	take (with)
*ahab_1	*ah~ab_1	pos:verb	pos:verb	gild
*ahal_1	>a*ohal_1	pos:verb	pos:verb	baffle;;distract;;be baffled;;be distracted
*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
UNK	UNK	UNK	UNK	UNK
UNK	UNK	UNK	UNK	UNK
*akA'_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
*akA'_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
*akar_1	>a$Ar_1	pos:verb	pos:verb	indicate;;mention;;cite;;be indicated;;be mentioned;;be cited
*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
*akar_1	ta*ak~ar_1	pos:verb	pos:verb	remember
*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
*akar_1	*ak~ar_1	pos:verb	pos:verb	remind
*akAwap_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
*Akir_1	*Akar_1	pos:verb	pos:verb	negotiate
*Akir_1	daras-u_1	pos:verb	pos:verb	study;;learn;;be studied;;be learned
*Akir_1	*Akar_1	pos:verb	pos:verb	negotiate
