Emoji,Negative,Positive
😂,0.247161811,0.468130215
❤,0.044099379,0.790186335
♥,0.035274356,0.692889138
😍,0.051737695,0.729674477
😭,0.436482085,0.34310532
😘,0.052905702,0.754660088
😊,0.059322034,0.704017577
👌,0.093675214,0.657435897
💕,0.04125,0.674166667
👏,0.104023973,0.624571918
😁,0.12699863,0.576975788
☺,0.062075655,0.720174588
♡,0.05164557,0.721518987
👍,0.114886731,0.637001079
😩,0.591261062,0.22289823
🙏,0.0805718,0.498375569
✌,0.112777053,0.576923077
😏,0.111695138,0.444152431
😉,0.099276792,0.563445102
🙌,0.100929615,0.661354582
🙈,0.163461538,0.596153846
💪,0.071682044,0.627395316
😄,0.136623748,0.558655222
😒,0.59133574,0.216606498
💃,0.04389881,0.779761905
💖,0.042755344,0.756136184
😃,0.071310116,0.629353234
😔,0.463900415,0.317842324
😱,0.263716814,0.453982301
🎉,0.038222222,0.777777778
😜,0.111111111,0.567149758
☯,0.005040323,0.006048387
🌸,0.039112051,0.691331924
💜,0.043663472,0.699680511
💙,0.031798246,0.764254386
✨,0.050707547,0.403301887
😳,0.327423168,0.345153664
💗,0.050239234,0.709330144
★,0.030193237,0.314009662
█,0.088972431,0.056390977
☀,0.026717557,0.493638677
😡,0.533068783,0.35978836
😎,0.104774536,0.598143236
😢,0.384512684,0.391188251
💋,0.038147139,0.731607629
😋,0.044959128,0.678474114
🙊,0.133793103,0.594482759
😴,0.422005571,0.341225627
🎶,0.095577746,0.634807418
💞,0.03930131,0.781659389
😌,0.139849624,0.62406015
🔥,0.122887865,0.262672811
💯,0.28100471,0.40188383
🔫,0.493377483,0.298013245
💛,0.041528239,0.754152824
💁,0.191256831,0.519125683
💚,0.076350093,0.73556797
♫,0.061913696,0.350844278
😞,0.479323308,0.360902256
😆,0.15370019,0.565464896
😝,0.131048387,0.556451613
😪,0.43153527,0.350622407
�,0.165254237,0.252118644
😫,0.48608137,0.340471092
😅,0.292207792,0.471861472
👊,0.26419214,0.493449782
💀,0.469298246,0.260964912
😀,0.08428246,0.656036446
😚,0.047169811,0.761792453
😻,0.067146283,0.690647482
©,0.129807692,0.247596154
👀,0.226829268,0.290243902
💘,0.04556962,0.734177215
🐓,0.106770833,0.135416667
☕,0.138743455,0.384816754
👋,0.157068063,0.573298429
✋,0.328042328,0.455026455
🎊,0.055096419,0.782369146
🍕,0.053977273,0.474431818
❄,0.097421203,0.607449857
😥,0.316715543,0.439882698
😕,0.602941176,0.202941176
💥,0.069908815,0.218844985
💔,0.414634146,0.292682927
😤,0.480122324,0.26911315
😈,0.203076923,0.470769231
►,0.123076923,0.286153846
✈,0.040372671,0.459627329
🔝,0.085808581,0.564356436
😰,0.437086093,0.417218543
⚽,0.050167224,0.672240803
😑,0.515050167,0.200668896
👑,0.040268456,0.741610738
😹,0.298305085,0.440677966
👉,0.068493151,0.462328767
🍃,0.099656357,0.481099656
🎁,0.038194444,0.805555556
😠,0.565972222,0.263888889
🐧,0.038732394,0.5
☆,0.028368794,0.460992908
🍀,0.021582734,0.309352518
🎈,0.014440433,0.740072202
🎅,0.025547445,0.346715328
😓,0.432234432,0.351648352
😣,0.542435424,0.328413284
😐,0.555555556,0.162962963
✊,0.137037037,0.57037037
😨,0.434944238,0.293680297
😖,0.485074627,0.328358209
💤,0.142322097,0.516853933
💓,0.057915058,0.72972973
👎,0.496124031,0.30620155
💦,0.138888889,0.615079365
✔,0.124497992,0.397590361
😷,0.475609756,0.304878049
⚡,0.040650407,0.219512195
🙋,0.127118644,0.618644068
🎄,0.063559322,0.601694915
💩,0.410480349,0.292576419
🎵,0.103139013,0.609865471
➡,0.009009009,0.157657658
😛,0.081818182,0.690909091
😬,0.26635514,0.462616822
👯,0.113744076,0.559241706
💎,0.052631579,0.622009569
🌿,0.004807692,0.394230769
🎂,0.07960199,0.701492537
🌟,0.055276382,0.386934673
🔮,0.030150754,0.301507538
❗,0.156565657,0.257575758
👫,0.218274112,0.47715736
🏆,0.030927835,0.768041237
✖,0.041450777,0.357512953
☝,0.141361257,0.455497382
😙,0.015706806,0.806282723
⛄,0.073298429,0.602094241
👅,0.121052632,0.589473684
♪,0.078947368,0.621052632
🍂,0.031746032,0.587301587
💏,0.178378378,0.572972973
🔪,0.207650273,0.278688525
🌴,0.073033708,0.606741573
👈,0.08045977,0.511494253
🌹,0.01744186,0.627906977
🙆,0.087719298,0.596491228
➜,0.047058824,0.211764706
👻,0.166666667,0.398809524
💰,0.154761905,0.410714286
🍻,0.103030303,0.624242424
🙅,0.460606061,0.254545455
🌞,0.018518519,0.586419753
